categoria_completa,categoria,nivel_1,nivel_2,nivel_3,nivel_4,categoria_real,quantidade,link
Acessórios para Veículos / Serviços Programados / Freios / Troca de Fitas e Campanas / Troca Fitas Campanas,Acessórios para Veículos > Serviços Programados > Freios > Troca de Fitas e Campanas,Acessórios para Veículos,Serviços Programados,Freios,Troca de Fitas e Campanas,Troca Fitas Campanas,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/freios/troca-fitas-campanas/
Acessórios para Veículos / Serviços Programados / Freios / Troca Liquido Freios,Acessórios para Veículos > Serviços Programados > Freios,Acessórios para Veículos,Serviços Programados,Freios,,Troca Liquido Freios,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/freios/troca-liquido-freios/
Acessórios para Veículos / Serviços Programados / Freios / Troca de Pastilhas e Discos / Troca Pastilhas Discos,Acessórios para Veículos > Serviços Programados > Freios > Troca de Pastilhas e Discos,Acessórios para Veículos,Serviços Programados,Freios,Troca de Pastilhas e Discos,Troca Pastilhas Discos,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/freios/troca-pastilhas-discos/
Acessórios para Veículos / Serviços Programados / Motor / Troca Correias Auxiliares,Acessórios para Veículos > Serviços Programados > Motor,Acessórios para Veículos,Serviços Programados,Motor,,Troca Correias Auxiliares,4,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/motor/troca-correias-auxiliares/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Motor / Troca Kit Distribuicao,Acessórios para Veículos > Serviços Programados > Motor,Acessórios para Veículos,Serviços Programados,Motor,,Troca Kit Distribuicao,3,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/motor/troca-kit-distribuicao/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Motor / Troca Liquido Refrigerante,Acessórios para Veículos > Serviços Programados > Motor,Acessórios para Veículos,Serviços Programados,Motor,,Troca Liquido Refrigerante,1,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/motor/troca-liquido-refrigerante/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Motor / Troca de Sondas de Escape / Troca Sondas Escape,Acessórios para Veículos > Serviços Programados > Motor > Troca de Sondas de Escape,Acessórios para Veículos,Serviços Programados,Motor,Troca de Sondas de Escape,Troca Sondas Escape,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/motor/troca-sondas-escape/
Acessórios para Veículos / Serviços Programados / Transmissão / Troca Lubrificante Caixa,Acessórios para Veículos > Serviços Programados > Transmissão,Acessórios para Veículos,Serviços Programados,Transmissão,,Troca Lubrificante Caixa,3,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/transmissao/troca-lubrificante-caixa/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Transmissão / Troca de Embreagem / Troca Embreagem,Acessórios para Veículos > Serviços Programados > Transmissão > Troca de Embreagem,Acessórios para Veículos,Serviços Programados,Transmissão,Troca de Embreagem,Troca Embreagem,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/transmissao/troca-embreagem/
Acessórios para Veículos / Serviços Programados / Tren Dianteiro / Outros / Outros,Acessórios para Veículos > Serviços Programados > Tren Dianteiro > Outros,Acessórios para Veículos,Serviços Programados,Tren Dianteiro,Outros,Outros,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/tren-dianteiro/outros/
