categoria_completa,categoria,nivel_1,nivel_2,nivel_3,categoria_real,quantidade,link
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Engates / Extensores Engate,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Engates,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Extensores Engate,4,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/engates/extensores-engate/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Cerâmicos / Filmes Ceramicos,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros > Filmes Cerâmicos,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Filmes Ceramicos,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-ceramicos/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Híbridos / Filmes Hibridos,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros > Filmes Híbridos,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Filmes Hibridos,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-hibridos/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Metalizados,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Filmes Metalizados,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-metalizados/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Nano,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Filmes Nano,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-nano/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Pigmentados,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Filmes Pigmentados,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-pigmentados/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Tingidos / Filmes Tingidos,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros > Filmes Tingidos,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Filmes Tingidos,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-tingidos/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Placas Vehiculos / Capas Placas,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Placas Vehiculos,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Capas Placas,5,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/placas-vehiculos/capas-placas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Placas Vehiculos / Outros / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Placas Vehiculos > Outros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Outros,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/placas-vehiculos/outros/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Protetores e Guardas / Guardas Adicionais / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Protetores e Guardas > Guardas Adicionais,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Outros,3,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/protetores-guardas/guardas-adicionais/outros/_NoIndex_True?original_category_landing=true
